
Date,Average Temperature
6/29/2016,10.61314286
6/30/2016,10.38846931
7/1/2016,8.86933452
7/2/2016,6.90330605
7/3/2016,7.539992883
7/4/2016,5.340363309
7/5/2016,3.784941606
7/6/2016,3.6037
7/7/2016,4.170971119
7/8/2016,6.23260424
7/9/2016,7.216624113
7/10/2016,7.400161871
7/11/2016,10.23265371
7/12/2016,12.87609929
7/13/2016,11.44613971
7/14/2016,5.982653571
7/15/2016,5.632862816
7/16/2016,8.740139286
7/17/2016,7.55368705
7/18/2016,5.795471429
7/19/2016,5.564307971
7/20/2016,7.301666667
7/21/2016,6.625592199
7/22/2016,4.33348227
7/23/2016,7.57710219
7/24/2016,10.37138163
7/25/2016,12.23873239
7/26/2016,13.17503546
7/27/2016,11.17040071
7/28/2016,6.634562278
7/29/2016,4.785406475
7/30/2016,4.154855072
7/31/2016,1.171651246
8/1/2016,4.346964664
8/2/2016,6.047276596
8/3/2016,7.968035842
8/4/2016,9.24857554
8/5/2016,10.00153957
8/6/2016,9.431424028
8/7/2016,5.426539568
8/8/2016,7.680532609
8/9/2016,10.97471223
8/10/2016,9.722188612
8/11/2016,9.859792727
8/12/2016,9.547989399
8/13/2016,7.239578571
8/14/2016,6.580145907
8/15/2016,5.963975265
8/16/2016,4.365496429
8/17/2016,3.972307143
8/18/2016,5.469187943
8/19/2016,5.892939716
8/20/2016,5.488703297
8/21/2016,5.322609929
8/22/2016,4.675728873
8/23/2016,4.404344086
8/24/2016,7.839086643
8/25/2016,8.929274021
8/26/2016,7.507625
8/27/2016,8.660849462
8/28/2016,8.448622302
8/29/2016,7.524582143
8/30/2016,5.03370318
8/31/2016,5.819326241
9/1/2016,7.260620567
9/2/2016,5.254764286
9/3/2016,6.023828571
9/4/2016,5.462549296
9/5/2016,6.12418662
9/6/2016,5.385032374
9/7/2016,6.714777778
9/8/2016,6.357402135
9/9/2016,5.369367857
9/10/2016,8.809125899
9/11/2016,4.945967391
9/12/2016,6.34931295
9/13/2016,0.385605839
9/14/2016,6.018819149
9/15/2016,6.863819788
9/16/2016,6.826296029
9/17/2016,6.106106383
9/18/2016,8.846655797
9/19/2016,8.085259928
9/20/2016,8.808784946
9/21/2016,7.110430605
9/22/2016,8.706580986
9/23/2016,7.06281362
9/24/2016,3.2655
9/25/2016,2.95501444
9/26/2016,3.619865248
9/27/2016,4.001718978
9/28/2016,2.574365591
9/29/2016,4.914057348
9/30/2016,2.210521739
10/1/2016,1.015688172
10/2/2016,-7.519978648
10/3/2016,-0.193649123
10/4/2016,1.39735
10/5/2016,1.494827957
10/6/2016,2.793672535
10/7/2016,0.168261649
10/8/2016,0.444259786
10/9/2016,-0.092239437
10/10/2016,-0.270770609
10/11/2016,2.095528369
10/12/2016,0.444480427
10/13/2016,-3.375279152
10/14/2016,-5.025529412
10/15/2016,1.673868794
10/16/2016,1.375162544
10/17/2016,-1.693431655
10/18/2016,-8.734582143
10/19/2016,-9.375727273
10/20/2016,-8.149356364
10/21/2016,-7.778715302
10/22/2016,-9.687178571
10/23/2016,-8.923191489
10/24/2016,-8.924123675
10/25/2016,-11.89597173
10/26/2016,-11.58219643
10/27/2016,-4.850330961
10/28/2016,-3.252192727
10/29/2016,-3.120975
10/30/2016,-2.222107914
10/31/2016,-0.056845324
11/1/2016,0.517526502
11/2/2016,1.277730496
